experiment_id,timestamp,batch_size,homogeneity,iteration,test_accuracy,full_repair_accuracy,batch_repair_time,error_message
stoch_bs5_class_homogeneous_correct_cls4,2025-06-05 18:36:26,5,class_homogeneous_correct,21,0.3807,0.989,12.163710832595825,
stoch_bs5_class_homogeneous_correct_cls4,2025-06-05 18:36:59,5,class_homogeneous_correct,22,0.3807,0.989,11.67288851737976,
stoch_bs5_class_homogeneous_correct_cls4,2025-06-05 18:37:26,5,class_homogeneous_correct,23,0.3807,0.989,10.170635223388672,
stoch_bs5_class_homogeneous_correct_cls4,2025-06-05 18:37:41,5,class_homogeneous_correct,24,0.3802,0.989,6.169492244720459,
stoch_bs5_class_homogeneous_correct_cls5,2025-06-05 18:38:10,5,class_homogeneous_correct,1,0.6878,0.8,7.7040932178497314,
stoch_bs5_class_homogeneous_correct_cls5,2025-06-05 18:38:37,5,class_homogeneous_correct,2,0.6878,0.8,8.713432312011719,
stoch_bs5_class_homogeneous_correct_cls5,2025-06-05 18:39:04,5,class_homogeneous_correct,3,0.6501,0.861,10.517809867858887,
stoch_bs5_class_homogeneous_correct_cls5,2025-06-05 22:30:50,5,class_homogeneous_correct,4,0.6145,0.891,11.7743661403656,
stoch_bs5_class_homogeneous_correct_cls5,2025-06-05 22:31:08,5,class_homogeneous_correct,5,0.6145,0.891,7.494706630706787,
stoch_bs5_class_homogeneous_correct_cls5,2025-06-05 22:31:28,5,class_homogeneous_correct,6,0.5861,0.934,8.35160493850708,
stoch_bs5_class_homogeneous_correct_cls5,2025-06-05 22:31:46,5,class_homogeneous_correct,7,0.5861,0.934,7.81454873085022,
stoch_bs5_class_homogeneous_correct_cls5,2025-06-05 22:32:04,5,class_homogeneous_correct,8,0.5597,0.962,7.647801399230957,
stoch_bs5_class_homogeneous_correct_cls5,2025-06-05 22:32:23,5,class_homogeneous_correct,9,0.5568,0.964,7.81922721862793,
stoch_bs5_class_homogeneous_correct_cls5,2025-06-05 22:32:41,5,class_homogeneous_correct,10,0.5568,0.964,7.650545597076416,
stoch_bs5_class_homogeneous_correct_cls5,2025-06-05 22:32:59,5,class_homogeneous_correct,11,0.5568,0.964,7.1975953578948975,
stoch_bs5_class_homogeneous_correct_cls5,2025-06-05 22:33:17,5,class_homogeneous_correct,12,0.5568,0.964,6.397131681442261,
stoch_bs5_class_homogeneous_correct_cls5,2025-06-05 22:33:35,5,class_homogeneous_correct,13,0.5344,0.965,7.64751410484314,
stoch_bs5_class_homogeneous_correct_cls5,2025-06-05 22:33:54,5,class_homogeneous_correct,14,0.5344,0.965,7.49394965171814,
stoch_bs5_class_homogeneous_correct_cls5,2025-06-05 22:34:20,5,class_homogeneous_correct,15,0.5311,0.966,7.6269354820251465,
stoch_bs5_class_homogeneous_correct_cls5,2025-06-05 22:34:40,5,class_homogeneous_correct,16,0.5311,0.966,8.348485231399536,
stoch_bs5_class_homogeneous_correct_cls5,2025-06-05 22:34:59,5,class_homogeneous_correct,17,0.5311,0.966,7.55779504776001,
stoch_bs5_class_homogeneous_correct_cls5,2025-06-05 22:35:19,5,class_homogeneous_correct,18,0.5297,0.966,8.132939338684082,
stoch_bs5_class_homogeneous_correct_cls5,2025-06-05 22:35:37,5,class_homogeneous_correct,19,0.519,0.976,8.361578941345215,
